tag|date
Haile_Selassie_I|1323302400000
Haile_Selassie_I|1323907200000
Haile_Selassie_I|1324512000000
Haile_Selassie_I|1325376000000
Haile_Selassie_I|1325980800000
Haile_Selassie_I|1326585600000
Haile_Selassie_I|1327190400000
Haile_Selassie_I|1328054400000
Haile_Selassie_I|1328659200000
Haile_Selassie_I|1329264000000
Haile_Selassie_I|1329868800000
Haile_Selassie_I|1330560000000
Haile_Selassie_I|1331164800000
Haile_Selassie_I|1331769600000
Haile_Selassie_I|1332374400000
Haile_Selassie_I|1333238400000
Haile_Selassie_I|1333843200000
Haile_Selassie_I|1334448000000
Haile_Selassie_I|1335052800000
Haile_Selassie_I|1335830400000
Haile_Selassie_I|1336435200000
Haile_Selassie_I|1337040000000
Haile_Selassie_I|1337644800000
Ehud_Olmert|1323302400000
Ehud_Olmert|1323907200000
Ehud_Olmert|1324512000000
Ehud_Olmert|1325376000000
Ehud_Olmert|1325980800000
Ehud_Olmert|1326585600000
Ehud_Olmert|1327190400000
Ehud_Olmert|1328054400000
Ehud_Olmert|1328659200000
Ehud_Olmert|1329264000000
Ehud_Olmert|1329868800000
Ehud_Olmert|1330560000000
Ehud_Olmert|1331164800000
Ehud_Olmert|1331769600000
Ehud_Olmert|1332374400000
Ehud_Olmert|1333238400000
Ehud_Olmert|1333843200000
Ehud_Olmert|1334448000000
Ehud_Olmert|1335052800000
Ehud_Olmert|1335830400000
Ehud_Olmert|1336435200000
Ehud_Olmert|1337040000000
Ehud_Olmert|1337644800000
Jan_Hus|1323302400000
Jan_Hus|1323907200000
Jan_Hus|1324512000000
Jan_Hus|1325376000000
Jan_Hus|1325980800000
Jan_Hus|1326585600000
Jan_Hus|1327190400000
Jan_Hus|1328054400000
Jan_Hus|1328659200000
Jan_Hus|1329264000000
Jan_Hus|1329868800000
Jan_Hus|1330560000000
Jan_Hus|1331164800000
Jan_Hus|1331769600000
Jan_Hus|1332374400000
Jan_Hus|1333238400000
Jan_Hus|1333843200000
Jan_Hus|1334448000000
Jan_Hus|1335052800000
Jan_Hus|1335830400000
Jan_Hus|1336435200000
Jan_Hus|1337040000000
Jan_Hus|1337644800000
Jorge_Luis_Borges|1323302400000
Jorge_Luis_Borges|1323907200000
Jorge_Luis_Borges|1324512000000
Jorge_Luis_Borges|1325376000000
Jorge_Luis_Borges|1325980800000
Jorge_Luis_Borges|1326585600000
Jorge_Luis_Borges|1327190400000
Jorge_Luis_Borges|1328054400000
Jorge_Luis_Borges|1328659200000
Jorge_Luis_Borges|1329264000000
Jorge_Luis_Borges|1329868800000
Jorge_Luis_Borges|1330560000000
Jorge_Luis_Borges|1331164800000
Jorge_Luis_Borges|1331769600000
Jorge_Luis_Borges|1332374400000
Jorge_Luis_Borges|1333238400000
Jorge_Luis_Borges|1333843200000
Jorge_Luis_Borges|1334448000000
Jorge_Luis_Borges|1335052800000
Jorge_Luis_Borges|1335830400000
Jorge_Luis_Borges|1336435200000
Jorge_Luis_Borges|1337040000000
Jorge_Luis_Borges|1337644800000
Celine_Dion|1323302400000
Celine_Dion|1323907200000
